iter	Passed	Remaining
472	652	727
473	653	725
474	654	723
475	655	721
476	655	719
477	657	718
478	658	716
479	659	714
480	659	712
481	660	710
482	661	708
483	662	706
484	663	704
485	664	702
486	664	700
487	665	698
488	666	696
489	667	694
490	667	692
491	668	690
492	669	688
493	670	686
494	671	685
495	672	683
496	674	682
497	674	680
498	675	678
499	676	676
500	677	674
501	677	672
502	679	670
503	679	669
504	680	667
505	706	689
506	707	688
507	708	686
508	709	684
509	710	682
510	711	680
511	712	678
512	712	676
513	713	674
514	714	672
515	714	670
516	715	668
517	716	666
518	717	665
519	718	663
520	720	661
521	720	660
522	721	658
523	722	656
524	723	654
525	723	652
526	725	651
527	726	649
528	728	648
529	730	647
530	731	646
531	732	644
532	733	642
533	734	641
534	735	639
535	736	637
536	736	635
537	737	633
538	738	631
539	739	629
540	740	628
541	741	626
542	741	624
543	742	622
544	743	620
545	743	618
546	744	616
547	745	615
548	746	613
549	747	611
550	748	609
551	749	608
552	750	606
553	751	604
554	752	602
555	753	601
556	753	599
557	754	598
558	755	596
559	756	594
560	757	592
561	757	590
562	758	588
563	759	586
564	760	585
565	760	583
566	761	581
567	762	579
568	763	578
569	764	576
570	765	574
571	766	573
572	766	571
573	767	569
574	768	568
575	769	566
576	770	564
577	770	562
578	771	561
579	772	559
580	773	557
581	773	555
582	774	554
583	775	552
584	776	550
585	777	548
586	777	547
587	778	545
588	779	544
589	780	542
590	781	540
591	782	539
592	783	537
593	784	536
594	785	534
595	785	532
596	786	530
597	787	529
598	788	527
599	788	525
600	790	524
601	790	522
602	791	521
603	792	519
604	793	517
605	794	516
606	795	514
607	796	513
608	797	512
609	798	510
610	799	508
611	799	507
612	800	505
613	801	503
614	802	502
615	803	500
616	803	499
617	804	497
618	805	495
619	806	494
620	806	492
621	807	490
622	808	489
623	809	488
624	810	486
625	811	485
626	812	483
627	813	481
628	814	480
629	815	478
630	815	477
631	816	475
632	817	473
633	818	472
634	819	470
635	819	469
636	820	467
637	821	465
638	822	464
639	823	462
640	824	461
641	825	460
642	826	458
643	827	457
644	827	455
645	828	454
646	829	452
647	830	451
648	831	449
649	832	448
650	832	446
651	833	444
652	834	443
653	834	441
654	835	440
655	836	438
656	837	437
657	839	436
658	840	434
659	840	433
660	841	431
661	842	430
662	842	428
663	843	426
664	844	425
665	845	423
666	846	422
667	847	421
668	848	419
669	848	418
670	849	416
671	850	415
672	851	413
673	852	412
674	854	411
675	855	410
676	856	408
677	857	407
678	858	405
679	858	404
680	859	402
681	860	401
682	861	399
683	861	398
684	862	396
685	863	395
686	864	393
687	865	392
688	866	390
689	866	389
690	868	388
691	869	387
692	870	385
693	871	384
694	872	382
695	872	381
696	873	379
697	874	378
698	875	377
699	876	375
700	877	374
701	878	372
702	878	371
703	879	369
704	880	368
705	881	367
706	882	365
707	883	364
708	884	362
709	885	361
710	885	360
711	886	358
712	887	357
713	887	355
714	888	354
715	889	352
716	890	351
717	890	349
718	891	348
719	892	346
720	892	345
721	893	344
722	894	342
723	895	341
724	896	340
725	897	338
726	898	337
727	899	335
728	899	334
729	900	333
730	901	331
731	902	330
732	902	328
733	903	327
734	904	325
735	904	324
736	905	323
737	906	321
738	906	320
739	908	319
740	909	317
741	910	316
742	911	315
743	912	313
744	913	312
745	914	311
746	914	309
747	915	308
748	916	307
749	917	305
750	918	304
751	919	303
752	939	308
753	943	307
754	945	306
755	948	306
756	950	304
757	952	304
758	954	302
759	955	301
760	958	301
761	960	299
762	962	298
763	963	297
764	965	296
765	966	295
766	968	294
767	969	292
768	971	291
769	973	290
770	974	289
771	976	288
772	977	287
773	979	286
774	980	284
775	982	283
776	983	282
777	985	281
778	987	280
779	989	278
780	990	277
781	992	276
782	998	276
783	999	275
784	1001	274
785	1002	273
786	1004	271
787	1005	270
788	1006	269
789	1009	268
790	1010	267
791	1011	265
792	1013	264
793	1014	263
794	1017	262
795	1020	261
796	1022	260
797	1024	259
798	1026	258
799	1028	257
800	1030	256
801	1032	254
802	1033	253
803	1034	252
804	1035	250
805	1037	249
806	1038	248
807	1038	246
808	1040	245
809	1040	244
810	1041	242
811	1042	241
812	1043	240
813	1045	238
814	1046	237
815	1048	236
816	1048	234
817	1049	233
818	1050	232
819	1052	230
820	1053	229
821	1053	228
822	1054	226
823	1055	225
824	1056	224
825	1057	222
826	1058	221
827	1059	220
828	1060	218
829	1061	217
830	1062	216
831	1063	214
832	1063	213
833	1064	211
834	1065	210
835	1067	209
836	1067	207
837	1068	206
838	1069	205
839	1070	203
840	1070	202
841	1071	201
842	1072	199
843	1073	198
844	1074	197
845	1075	195
846	1075	194
847	1076	192
848	1077	191
849	1077	190
850	1078	188
851	1079	187
852	1080	186
853	1080	184
854	1081	183
855	1082	182
856	1082	180
857	1083	179
858	1084	177
859	1085	176
860	1085	175
861	1086	173
862	1087	172
863	1088	171
864	1090	170
865	1091	168
866	1093	167
867	1094	166
868	1095	165
869	1095	163
870	1096	162
871	1097	161
872	1098	159
873	1098	158
874	1099	157
875	1100	155
876	1100	154
877	1101	153
878	1102	151
879	1103	150
880	1104	149
881	1105	147
882	1106	146
883	1106	145
884	1107	143
885	1108	142
886	1108	141
887	1109	139
888	1110	138
889	1111	137
890	1111	136
891	1112	134
892	1113	133
893	1114	132
894	1114	130
895	1115	129
896	1116	128
897	1117	126
898	1117	125
899	1118	124
900	1119	123
901	1120	121
902	1121	120
903	1122	119
904	1123	117
905	1124	116
906	1125	115
907	1125	114
908	1126	112
909	1127	111
910	1127	110
911	1128	108
912	1129	107
913	1130	106
914	1131	105
915	1131	103
916	1132	102
917	1133	101
918	1133	99
919	1134	98
920	1135	97
921	1136	96
922	1137	94
923	1138	93
924	1138	92
925	1139	91
926	1140	89
927	1141	88
928	1141	87
929	1142	85
930	1143	84
931	1143	83
932	1145	82
933	1146	80
934	1146	79
935	1147	78
936	1148	77
937	1148	75
938	1149	74
939	1150	73
940	1151	72
941	1152	70
942	1153	69
943	1153	68
944	1154	67
945	1155	65
946	1155	64
947	1156	63
948	1157	62
949	1178	62
950	1179	60
951	1180	59
952	1180	58
953	1181	56
954	1182	55
955	1183	54
956	1184	53
957	1184	51
958	1185	50
959	1186	49
960	1187	48
961	1188	46
962	1189	45
963	1189	44
964	1190	43
965	1191	41
966	1191	40
967	1192	39
968	1193	38
969	1194	36
970	1194	35
971	1195	34
972	1196	33
973	1197	31
974	1198	30
975	1199	29
976	1199	28
977	1200	27
978	1201	25
979	1202	24
980	1203	23
981	1203	22
982	1204	20
983	1205	19
984	1206	18
985	1206	17
986	1207	15
987	1208	14
988	1208	13
989	1209	12
990	1210	10
991	1211	9
992	1212	8
993	1213	7
994	1213	6
995	1214	4
996	1215	3
997	1216	2
998	1217	1
999	1218	0
